Date,Open,High,Low,Close,Volume
2020-08-15 04:00:00,5.0,23.255,5.0,13.749,764275.452
2020-08-15 05:00:00,13.653,13.655,10.701,11.849,290676.01
2020-08-15 06:00:00,11.823,11.839,11.0,11.35,102237.799
2020-08-15 07:00:00,11.35,11.468,10.17,10.35,122824.677
2020-08-15 08:00:00,10.383,10.6,8.7,8.82,212405.16
2020-08-15 09:00:00,8.82,9.337,7.933,8.157,239363.088
2020-08-15 10:00:00,8.151,8.21,7.4,7.45,173885.286
2020-08-15 11:00:00,7.441,7.441,5.925,6.137,249665.597
2020-08-15 12:00:00,6.163,11.22,6.035,9.995,949940.596
2020-08-15 13:00:00,9.95,10.5,8.657,9.63,559552.073
2020-08-15 14:00:00,9.63,9.75,8.91,9.055,202694.551
2020-08-15 15:00:00,9.055,9.45,8.555,8.83,182486.993
2020-08-15 16:00:00,8.812,9.2,8.77,8.821,86832.928
2020-08-15 17:00:00,8.821,8.841,7.53,8.211,280823.355
2020-08-15 18:00:00,8.215,8.77,8.05,8.562,96876.72
2020-08-15 19:00:00,8.535,8.698,7.99,8.002,88936.829
2020-08-15 20:00:00,7.994,8.129,7.6,7.712,100146.046
2020-08-15 21:00:00,7.71,7.942,7.28,7.836,106378.849
2020-08-15 22:00:00,7.836,7.894,7.14,7.395,81340.082
2020-08-15 23:00:00,7.395,7.398,6.8,6.91,123390.33
2020-08-16 00:00:00,6.91,7.696,6.819,7.449,188891.383
2020-08-16 01:00:00,7.449,7.449,6.513,6.622,166668.834
2020-08-16 02:00:00,6.631,6.9,6.23,6.552,257405.845
2020-08-16 03:00:00,6.567,6.85,6.31,6.437,124679.553
2020-08-16 04:00:00,6.436,7.294,6.382,7.288,164748.34
2020-08-16 05:00:00,7.26,7.433,6.557,6.864,257386.117
2020-08-16 06:00:00,6.863,7.101,6.723,6.82,165059.617
2020-08-16 07:00:00,6.83,6.968,6.633,6.66,86283.379
2020-08-16 08:00:00,6.679,6.839,6.389,6.729,160939.154
2020-08-16 09:00:00,6.732,6.838,6.454,6.561,136875.949
2020-08-16 10:00:00,6.561,6.61,6.468,6.52,68784.215
2020-08-16 11:00:00,6.514,6.6,6.372,6.418,110023.573
2020-08-16 12:00:00,6.41,6.632,6.2,6.604,149833.878
2020-08-16 13:00:00,6.624,6.64,6.33,6.447,108252.164
2020-08-16 14:00:00,6.447,6.46,6.233,6.292,113597.39
2020-08-16 15:00:00,6.292,6.399,6.233,6.346,91345.83
2020-08-16 16:00:00,6.345,6.617,6.26,6.4,176361.945
2020-08-16 17:00:00,6.4,6.439,6.291,6.313,48567.567
2020-08-16 18:00:00,6.313,6.399,6.268,6.31,63648.721
2020-08-16 19:00:00,6.325,6.349,6.27,6.31,57792.294
2020-08-16 20:00:00,6.322,6.344,6.04,6.09,167735.331
2020-08-16 21:00:00,6.089,6.14,5.954,6.077,116967.862
2020-08-16 22:00:00,6.077,6.3,6.0,6.111,107489.759
2020-08-16 23:00:00,6.074,6.1,5.734,5.782,134896.36
2020-08-17 00:00:00,5.781,5.94,5.365,5.388,192028.308
2020-08-17 01:00:00,5.387,5.522,5.133,5.485,260900.383
2020-08-17 02:00:00,5.484,5.55,5.22,5.28,134685.959
2020-08-17 03:00:00,5.277,5.374,5.103,5.104,105443.217
2020-08-17 04:00:00,5.105,5.14,5.06,5.08,137471.388
2020-08-17 05:00:00,5.08,5.4,5.08,5.333,143414.371
2020-08-17 06:00:00,5.283,5.539,5.23,5.312,174874.522
2020-08-17 07:00:00,5.312,5.363,4.85,5.003,254948.834
2020-08-17 08:00:00,5.004,5.004,4.718,4.926,247800.683
2020-08-17 09:00:00,4.927,5.099,4.8,4.82,204154.064
2020-08-17 10:00:00,4.819,4.876,4.477,4.532,326116.978
2020-08-17 11:00:00,4.535,4.748,4.36,4.517,383178.169
2020-08-17 12:00:00,4.517,4.799,4.473,4.72,165853.139
2020-08-17 13:00:00,4.72,4.756,4.31,4.417,224255.663
2020-08-17 14:00:00,4.432,4.498,4.2,4.235,230903.237
2020-08-17 15:00:00,4.236,4.56,4.182,4.3,250672.412
2020-08-17 16:00:00,4.308,4.5,4.255,4.422,149254.841
2020-08-17 17:00:00,4.419,4.563,4.351,4.41,126999.182
2020-08-17 18:00:00,4.409,5.04,4.407,4.908,369608.363
2020-08-17 19:00:00,4.91,5.09,4.655,4.711,234405.737
2020-08-17 20:00:00,4.712,4.863,4.65,4.694,85523.912
2020-08-17 21:00:00,4.694,4.78,4.471,4.62,106439.509
2020-08-17 22:00:00,4.608,4.823,4.512,4.563,97808.967
2020-08-17 23:00:00,4.575,4.62,4.3,4.38,120135.523
2020-08-18 00:00:00,4.375,4.486,4.2,4.309,140173.759
2020-08-18 01:00:00,4.309,4.336,4.101,4.149,134539.938
2020-08-18 02:00:00,4.142,4.153,3.82,3.831,292748.104
2020-08-18 03:00:00,3.832,3.969,3.73,3.825,198152.804
