Date,Open,High,Low,Close,Volume
2020-08-15 04:00:00,5.0,23.255,5.0,10.35,1280013.938
2020-08-15 08:00:00,10.383,10.6,5.925,6.137,875319.131
2020-08-15 12:00:00,6.163,11.22,6.035,8.83,1894674.213
2020-08-15 16:00:00,8.812,9.2,7.53,8.002,553469.832
2020-08-15 20:00:00,7.994,8.129,6.8,6.91,411255.307
2020-08-16 00:00:00,6.91,7.696,6.23,6.437,737645.615
2020-08-16 04:00:00,6.436,7.433,6.382,6.66,673477.453
2020-08-16 08:00:00,6.679,6.839,6.372,6.418,476622.891
2020-08-16 12:00:00,6.41,6.64,6.2,6.346,463029.262
2020-08-16 16:00:00,6.345,6.617,6.26,6.31,346370.527
2020-08-16 20:00:00,6.322,6.344,5.734,5.782,527089.312
2020-08-17 00:00:00,5.781,5.94,5.103,5.104,693057.867
2020-08-17 04:00:00,5.105,5.539,4.85,5.003,710709.115
2020-08-17 08:00:00,5.004,5.099,4.36,4.517,1161249.894
2020-08-17 12:00:00,4.517,4.799,4.182,4.3,871684.451
2020-08-17 16:00:00,4.308,5.09,4.255,4.711,880268.123
2020-08-17 20:00:00,4.712,4.863,4.3,4.38,409907.911
2020-08-18 00:00:00,4.375,4.486,3.73,3.825,765614.605
2020-08-18 04:00:00,3.825,3.979,3.359,3.416,1074624.826
2020-08-18 08:00:00,3.416,4.112,3.389,3.713,1115597.985
2020-08-18 12:00:00,3.713,3.837,3.173,3.384,928034.27
2020-08-18 16:00:00,3.384,3.8,3.375,3.64,719923.502
2020-08-18 20:00:00,3.64,4.306,3.503,3.6,1287505.356
2020-08-19 00:00:00,3.6,3.99,3.371,3.378,851695.934
2020-08-19 04:00:00,3.389,4.72,3.305,4.581,1669847.017
2020-08-19 08:00:00,4.581,4.698,4.099,4.415,1602018.493
2020-08-19 12:00:00,4.43,4.837,4.23,4.445,1443410.922
2020-08-19 16:00:00,4.444,5.03,4.405,4.44,1185340.53
2020-08-19 20:00:00,4.443,4.588,3.752,3.919,892549.409
2020-08-20 00:00:00,3.919,4.42,3.809,4.224,889009.975
2020-08-20 04:00:00,4.219,4.675,4.101,4.385,838790.651
2020-08-20 08:00:00,4.382,4.5,4.091,4.135,747855.662
2020-08-20 12:00:00,4.134,4.269,3.936,4.099,829486.458
2020-08-20 16:00:00,4.099,4.198,3.847,3.947,791181.162
2020-08-20 20:00:00,3.947,3.99,3.82,3.89,407341.182
2020-08-21 00:00:00,3.884,3.9,3.474,3.5,930401.554
2020-08-21 04:00:00,3.499,3.78,3.485,3.613,566449.884
2020-08-21 08:00:00,3.613,4.069,3.531,3.858,1476120.959
2020-08-21 12:00:00,3.858,3.935,3.491,3.563,895212.392
2020-08-21 16:00:00,3.563,3.576,3.362,3.398,431553.959
2020-08-21 20:00:00,3.398,3.562,3.2,3.23,540060.465
2020-08-22 00:00:00,3.23,3.27,2.715,2.952,1015916.158
2020-08-22 04:00:00,2.953,3.027,2.8,2.974,481858.202
2020-08-22 08:00:00,2.974,3.189,2.963,2.971,533858.67
2020-08-22 12:00:00,2.976,3.07,2.82,2.914,690516.485
2020-08-22 16:00:00,2.913,2.95,2.801,2.874,375760.94
2020-08-22 20:00:00,2.875,3.087,2.862,3.057,309465.051
2020-08-23 00:00:00,3.057,3.057,2.8,2.878,518048.941
2020-08-23 04:00:00,2.879,3.044,2.853,3.004,423392.93
2020-08-23 08:00:00,3.0,3.09,2.775,2.794,736440.866
2020-08-23 12:00:00,2.794,2.857,2.58,2.72,1064739.532
2020-08-23 16:00:00,2.721,2.735,2.631,2.706,359689.107
2020-08-23 20:00:00,2.706,2.723,2.6,2.695,350601.989
2020-08-24 00:00:00,2.685,2.9,2.595,2.761,674807.218
2020-08-24 04:00:00,2.755,3.1,2.752,2.995,999939.926
2020-08-24 08:00:00,2.995,3.065,2.789,2.84,763874.664
2020-08-24 12:00:00,2.841,2.915,2.768,2.902,662792.702
2020-08-24 16:00:00,2.905,3.047,2.86,2.91,832451.865
2020-08-24 20:00:00,2.915,2.936,2.822,2.897,315344.464
2020-08-25 00:00:00,2.884,3.06,2.88,2.984,548226.637
2020-08-25 04:00:00,2.984,3.411,2.979,3.09,1709560.128
2020-08-25 08:00:00,3.09,3.21,3.05,3.052,675630.99
2020-08-25 12:00:00,3.052,3.1,2.793,2.966,1110030.474
2020-08-25 16:00:00,2.966,2.979,2.68,2.861,875627.964
2020-08-25 20:00:00,2.862,2.994,2.761,2.857,553695.674
2020-08-26 00:00:00,2.858,3.213,2.815,3.126,1083476.782
2020-08-26 04:00:00,3.129,3.199,2.919,3.004,700035.961
2020-08-26 08:00:00,3.004,3.419,3.0,3.247,1574641.554
2020-08-26 12:00:00,3.248,3.85,3.136,3.85,2621111.333
2020-08-26 16:00:00,3.841,4.15,3.633,3.793,2553220.406
2020-08-26 20:00:00,3.803,3.939,3.53,3.556,1237677.797
2020-08-27 00:00:00,3.558,4.109,3.549,4.075,1617948.959
2020-08-27 04:00:00,4.07,4.27,3.76,4.185,1725765.997
2020-08-27 08:00:00,4.192,4.316,3.66,3.692,2388467.627
2020-08-27 12:00:00,3.686,4.07,3.522,3.64,2407269.674
2020-08-27 16:00:00,3.643,3.799,3.2,3.37,1630829.318
2020-08-27 20:00:00,3.37,3.444,3.213,3.344,851940.706
2020-08-28 00:00:00,3.344,3.608,3.34,3.482,1029714.46
2020-08-28 04:00:00,3.492,4.0,3.466,3.683,2075351.809
2020-08-28 08:00:00,3.684,3.726,3.473,3.541,923233.831
