Date,Open,High,Low,Close,Volume
2025-07-18 14:00:00,0.153,0.75,0.153,0.4203,122457324.7
2025-07-18 15:00:00,0.4204,0.43,0.3789,0.4066,34630088.2
2025-07-18 16:00:00,0.4065,0.4565,0.3877,0.408,33691590.4
2025-07-18 17:00:00,0.4082,0.425,0.3972,0.4073,15334642.5
2025-07-18 18:00:00,0.407,0.4368,0.404,0.417,13776008.2
2025-07-18 19:00:00,0.417,0.4218,0.3881,0.3971,13201791.7
2025-07-18 20:00:00,0.3973,0.412,0.3768,0.3783,11430139.7
2025-07-18 21:00:00,0.3783,0.4144,0.3733,0.4,9072864.1
2025-07-18 22:00:00,0.4003,0.4007,0.3616,0.365,7012116.5
2025-07-18 23:00:00,0.365,0.3662,0.3053,0.3101,18739970.9
2025-07-19 00:00:00,0.3102,0.3456,0.3067,0.3191,14982202.0
2025-07-19 01:00:00,0.319,0.334,0.2963,0.3257,14246590.0
2025-07-19 02:00:00,0.3256,0.341,0.3152,0.334,9797139.9
2025-07-19 03:00:00,0.3338,0.3374,0.3235,0.3289,5285220.9
2025-07-19 04:00:00,0.3287,0.33,0.3135,0.324,4358523.2
2025-07-19 05:00:00,0.324,0.3317,0.3137,0.3174,5238076.9
2025-07-19 06:00:00,0.3177,0.3229,0.3099,0.3099,4863617.0
2025-07-19 07:00:00,0.3099,0.3166,0.289,0.293,9921193.6
2025-07-19 08:00:00,0.2931,0.3053,0.281,0.2922,11901339.5
2025-07-19 09:00:00,0.292,0.2975,0.275,0.278,9554545.2
2025-07-19 10:00:00,0.278,0.2878,0.2752,0.2838,5398182.0
2025-07-19 11:00:00,0.2838,0.2875,0.2756,0.279,4108642.5
2025-07-19 12:00:00,0.279,0.3065,0.2724,0.3002,13822793.5
2025-07-19 13:00:00,0.3002,0.3006,0.2847,0.2873,9326968.4
2025-07-19 14:00:00,0.2871,0.2886,0.2771,0.2799,6019055.6
2025-07-19 15:00:00,0.2799,0.2886,0.279,0.2827,3900088.9
2025-07-19 16:00:00,0.2826,0.2843,0.2712,0.2728,6272176.7
2025-07-19 17:00:00,0.2729,0.2748,0.2667,0.271,5024049.0
2025-07-19 18:00:00,0.2708,0.2742,0.2624,0.2675,4438249.1
2025-07-19 19:00:00,0.2676,0.2792,0.2648,0.2768,4459657.3
2025-07-19 20:00:00,0.2769,0.2775,0.2692,0.27,4042388.8
2025-07-19 21:00:00,0.2701,0.272,0.2654,0.2671,3119737.8
2025-07-19 22:00:00,0.2671,0.2724,0.2625,0.2685,2839539.0
2025-07-19 23:00:00,0.2686,0.2712,0.2637,0.2643,2238282.9
2025-07-20 00:00:00,0.2642,0.2664,0.2525,0.253,3666643.7
2025-07-20 01:00:00,0.2533,0.2729,0.253,0.2676,3881773.0
2025-07-20 02:00:00,0.2675,0.2684,0.2607,0.2634,1760318.9
2025-07-20 03:00:00,0.2635,0.2689,0.2583,0.2623,1868894.0
2025-07-20 04:00:00,0.2624,0.2654,0.2572,0.2592,2036784.9
2025-07-20 05:00:00,0.2591,0.2627,0.2538,0.2558,3305089.6
2025-07-20 06:00:00,0.2557,0.2561,0.2455,0.246,3788374.8
2025-07-20 07:00:00,0.2459,0.2516,0.2457,0.2481,4142586.2
2025-07-20 08:00:00,0.2482,0.255,0.2475,0.2508,3398064.1
2025-07-20 09:00:00,0.2508,0.2537,0.248,0.2507,2335794.6
2025-07-20 10:00:00,0.2505,0.2587,0.2486,0.2509,3554725.0
2025-07-20 11:00:00,0.2508,0.2545,0.2487,0.253,2145926.9
2025-07-20 12:00:00,0.253,0.2656,0.2492,0.261,4548289.6
2025-07-20 13:00:00,0.2613,0.2878,0.2568,0.2812,12165645.6
2025-07-20 14:00:00,0.2812,0.2848,0.262,0.2655,6763879.3
2025-07-20 15:00:00,0.2657,0.275,0.262,0.274,5060125.7
2025-07-20 16:00:00,0.2741,0.286,0.266,0.2708,8800396.7
2025-07-20 17:00:00,0.2707,0.285,0.2634,0.2782,7466184.9
