Date,Open,High,Low,Close,Volume
2024-04-02 08:00:00,0.3,0.84,0.3,0.597,490360653.89
2024-04-02 10:00:00,0.597,0.626,0.557,0.618,143926700.81
2024-04-02 12:00:00,0.618,0.73,0.593,0.705,164222139.96
2024-04-02 14:00:00,0.704,0.778,0.668,0.689,237895466.68
2024-04-02 16:00:00,0.689,0.841,0.688,0.806,171392822.57
2024-04-02 18:00:00,0.805,0.913,0.804,0.872,204574824.44
2024-04-02 20:00:00,0.872,0.878,0.813,0.861,67022318.06
2024-04-02 22:00:00,0.86,0.873,0.752,0.775,71316985.35
2024-04-03 00:00:00,0.775,0.872,0.703,0.847,132392004.32
2024-04-03 02:00:00,0.847,0.892,0.8,0.871,72664546.62
2024-04-03 04:00:00,0.871,0.875,0.785,0.823,58370667.44
2024-04-03 06:00:00,0.822,0.925,0.815,0.919,69392053.93
2024-04-03 08:00:00,0.918,0.966,0.865,0.926,140184258.12
2024-04-03 10:00:00,0.926,0.949,0.892,0.902,78801334.77
2024-04-03 12:00:00,0.902,0.989,0.854,0.932,144568129.99
2024-04-03 14:00:00,0.931,1.22,0.931,1.201,191437525.56
2024-04-03 16:00:00,1.202,1.32,1.092,1.104,259426964.82
2024-04-03 18:00:00,1.104,1.158,1.053,1.108,86329699.44
2024-04-03 20:00:00,1.108,1.156,1.045,1.154,64959506.54
2024-04-03 22:00:00,1.153,1.157,1.06,1.134,40886626.73
2024-04-04 00:00:00,1.134,1.163,1.068,1.077,47987534.51
2024-04-04 02:00:00,1.076,1.096,0.95,0.953,71161319.02
2024-04-04 04:00:00,0.952,1.045,0.907,1.042,90715626.16
2024-04-04 06:00:00,1.043,1.073,0.984,1.003,43549128.23
2024-04-04 08:00:00,1.003,1.035,0.951,1.016,41908753.31
2024-04-04 10:00:00,1.016,1.168,1.011,1.126,94233387.21
2024-04-04 12:00:00,1.126,1.158,1.071,1.097,55046400.86
2024-04-04 14:00:00,1.096,1.15,1.03,1.036,54624455.32
2024-04-04 16:00:00,1.036,1.063,1.007,1.049,39984600.17
2024-04-04 18:00:00,1.048,1.05,0.972,1.002,36432198.11
2024-04-04 20:00:00,1.002,1.007,0.926,0.942,39627694.89
2024-04-04 22:00:00,0.941,1.005,0.939,0.97,31646523.4
2024-04-05 00:00:00,0.97,1.044,0.952,1.014,45788141.58
2024-04-05 02:00:00,1.015,1.016,0.915,0.956,54771098.69
2024-04-05 04:00:00,0.956,1.0,0.922,0.954,37222510.34
2024-04-05 06:00:00,0.954,0.962,0.878,0.906,32974583.31
2024-04-05 08:00:00,0.906,0.954,0.905,0.917,27187494.68
2024-04-05 10:00:00,0.918,0.929,0.861,0.879,44559359.74
2024-04-05 12:00:00,0.879,0.962,0.868,0.932,61675309.44
2024-04-05 14:00:00,0.931,0.995,0.916,0.965,45305876.4
2024-04-05 16:00:00,0.965,1.03,0.948,0.997,49608662.41
2024-04-05 18:00:00,0.996,1.017,0.96,0.977,29411939.0
2024-04-05 20:00:00,0.977,1.069,0.977,1.04,47180457.31
2024-04-05 22:00:00,1.04,1.042,1.004,1.018,26543294.08
