Date,Open,High,Low,Close,Volume
2024-04-02 08:00:00,0.3,0.84,0.3,0.63,394736855.66
2024-04-02 09:00:00,0.63,0.662,0.596,0.597,95623798.23
2024-04-02 10:00:00,0.597,0.616,0.557,0.579,79177648.99
2024-04-02 11:00:00,0.58,0.626,0.57,0.618,64749051.82
2024-04-02 12:00:00,0.618,0.635,0.593,0.625,47030707.9
2024-04-02 13:00:00,0.625,0.73,0.623,0.705,117191432.06
2024-04-02 14:00:00,0.704,0.778,0.679,0.69,160006507.16
2024-04-02 15:00:00,0.69,0.736,0.668,0.689,77888959.52
2024-04-02 16:00:00,0.689,0.736,0.688,0.731,50282134.02
2024-04-02 17:00:00,0.731,0.841,0.725,0.806,121110688.55
2024-04-02 18:00:00,0.805,0.913,0.805,0.847,134414156.12
2024-04-02 19:00:00,0.847,0.89,0.804,0.872,70160668.32
2024-04-02 20:00:00,0.872,0.874,0.813,0.822,39738686.17
2024-04-02 21:00:00,0.822,0.878,0.821,0.861,27283631.89
2024-04-02 22:00:00,0.86,0.873,0.822,0.847,28108376.21
2024-04-02 23:00:00,0.846,0.85,0.752,0.775,43208609.14
2024-04-03 00:00:00,0.775,0.788,0.703,0.78,56278339.63
2024-04-03 01:00:00,0.78,0.872,0.764,0.847,76113664.69
2024-04-03 02:00:00,0.847,0.857,0.8,0.838,36202649.45
2024-04-03 03:00:00,0.838,0.892,0.82,0.871,36461897.17
2024-04-03 04:00:00,0.871,0.875,0.823,0.831,23242700.82
2024-04-03 05:00:00,0.83,0.832,0.785,0.823,35127966.62
2024-04-03 06:00:00,0.822,0.865,0.815,0.856,25722928.01
2024-04-03 07:00:00,0.856,0.925,0.822,0.919,43669125.92
2024-04-03 08:00:00,0.918,0.944,0.865,0.94,78266090.43
2024-04-03 09:00:00,0.94,0.966,0.917,0.926,61918167.69
2024-04-03 10:00:00,0.926,0.949,0.9,0.925,39384343.74
2024-04-03 11:00:00,0.925,0.946,0.892,0.902,39416991.03
2024-04-03 12:00:00,0.902,0.942,0.854,0.928,73035512.92
2024-04-03 13:00:00,0.929,0.989,0.928,0.932,71532617.07
2024-04-03 14:00:00,0.931,1.044,0.931,1.044,78159205.26
2024-04-03 15:00:00,1.044,1.22,1.0,1.201,113278320.3
2024-04-03 16:00:00,1.202,1.32,1.147,1.166,170912377.66
2024-04-03 17:00:00,1.166,1.231,1.092,1.104,88514587.16
2024-04-03 18:00:00,1.104,1.158,1.079,1.082,48867222.38
2024-04-03 19:00:00,1.082,1.138,1.053,1.108,37462477.06
2024-04-03 20:00:00,1.108,1.108,1.045,1.104,35062148.01
2024-04-03 21:00:00,1.104,1.156,1.068,1.154,29897358.53
2024-04-03 22:00:00,1.153,1.157,1.103,1.105,18348554.87
2024-04-03 23:00:00,1.106,1.148,1.06,1.134,22538071.86
2024-04-04 00:00:00,1.134,1.163,1.091,1.108,27946777.91
2024-04-04 01:00:00,1.109,1.124,1.068,1.077,20040756.6
2024-04-04 02:00:00,1.076,1.096,1.007,1.061,32280447.35
2024-04-04 03:00:00,1.061,1.078,0.95,0.953,38880871.67
2024-04-04 04:00:00,0.952,0.998,0.907,0.987,56705410.84
2024-04-04 05:00:00,0.988,1.045,0.969,1.042,34010215.32
2024-04-04 06:00:00,1.043,1.073,1.012,1.014,21404196.75
2024-04-04 07:00:00,1.013,1.038,0.984,1.003,22144931.48
2024-04-04 08:00:00,1.003,1.035,0.951,0.957,23624259.53
2024-04-04 09:00:00,0.957,1.022,0.957,1.016,18284493.78
2024-04-04 10:00:00,1.016,1.14,1.011,1.104,61511514.68
2024-04-04 11:00:00,1.104,1.168,1.085,1.126,32721872.53
2024-04-04 12:00:00,1.126,1.158,1.087,1.091,29071912.73
2024-04-04 13:00:00,1.09,1.137,1.071,1.097,25974488.13
2024-04-04 14:00:00,1.096,1.15,1.088,1.1,27779438.98
2024-04-04 15:00:00,1.099,1.119,1.03,1.036,26845016.34
2024-04-04 16:00:00,1.036,1.063,1.013,1.026,22868961.43
2024-04-04 17:00:00,1.026,1.055,1.007,1.049,17115638.74
2024-04-04 18:00:00,1.048,1.05,0.972,0.978,22649309.7
2024-04-04 19:00:00,0.978,1.01,0.976,1.002,13782888.41
2024-04-04 20:00:00,1.002,1.007,0.926,0.981,26562204.7
2024-04-04 21:00:00,0.982,0.989,0.933,0.942,13065490.19
2024-04-04 22:00:00,0.941,0.983,0.939,0.975,15323701.05
2024-04-04 23:00:00,0.974,1.005,0.956,0.97,16322822.35
2024-04-05 00:00:00,0.97,1.012,0.952,0.974,22074758.04
2024-04-05 01:00:00,0.975,1.044,0.969,1.014,23713383.54
2024-04-05 02:00:00,1.015,1.016,0.915,0.954,42953744.01
2024-04-05 03:00:00,0.954,0.964,0.93,0.956,11817354.68
