Date,Open,High,Low,Close,Volume
2025-07-17 15:00:00,0.2,1.7777,0.2,1.5322,101106541.6
2025-07-17 16:00:00,1.5346,2.0561,1.49,1.642,62269752.0
2025-07-17 17:00:00,1.6447,1.7158,1.45,1.58,19232296.2
2025-07-17 18:00:00,1.5783,1.86,1.57,1.857,11130748.7
2025-07-17 19:00:00,1.8576,1.9442,1.6715,1.846,14906183.7
2025-07-17 20:00:00,1.8446,1.9455,1.78,1.827,11599881.6
2025-07-17 21:00:00,1.8253,1.8819,1.6487,1.6805,9015651.4
2025-07-17 22:00:00,1.68,1.7757,1.6228,1.7211,6847659.8
2025-07-17 23:00:00,1.7216,1.784,1.685,1.7055,4797598.9
2025-07-18 00:00:00,1.7031,1.7555,1.5,1.533,7094817.6
2025-07-18 01:00:00,1.5323,1.56,1.46,1.5307,5125620.1
2025-07-18 02:00:00,1.5307,1.6629,1.5,1.5553,4513013.7
2025-07-18 03:00:00,1.5539,1.5799,1.51,1.5117,3289316.0
2025-07-18 04:00:00,1.5113,1.5529,1.4726,1.5245,3692854.6
2025-07-18 05:00:00,1.5245,1.585,1.5011,1.5477,3456496.8
2025-07-18 06:00:00,1.5482,1.5498,1.5016,1.5329,4744862.5
2025-07-18 07:00:00,1.5325,1.5325,1.355,1.41,9301493.0
2025-07-18 08:00:00,1.41,1.5031,1.41,1.4707,4472002.0
2025-07-18 09:00:00,1.4707,1.5247,1.4427,1.5102,2916329.2
2025-07-18 10:00:00,1.5103,1.5168,1.4595,1.4987,3296706.8
2025-07-18 11:00:00,1.4987,1.4991,1.4167,1.4628,2773008.4
2025-07-18 12:00:00,1.4631,1.5061,1.4406,1.4909,2603139.3
2025-07-18 13:00:00,1.4905,1.4967,1.4552,1.4586,2547404.8
2025-07-18 14:00:00,1.459,1.4677,1.4158,1.445,3942825.8
2025-07-18 15:00:00,1.4452,1.4826,1.3886,1.4081,3901419.8
2025-07-18 16:00:00,1.4082,1.4172,1.37,1.4033,2642486.1
2025-07-18 17:00:00,1.4034,1.4112,1.3755,1.3924,1809674.5
2025-07-18 18:00:00,1.3927,1.4024,1.3658,1.393,1174784.1
2025-07-18 19:00:00,1.3924,1.3966,1.3409,1.3522,1500650.6
2025-07-18 20:00:00,1.3522,1.3635,1.3134,1.3367,1480922.0
2025-07-18 21:00:00,1.3366,1.3816,1.324,1.354,1070099.8
2025-07-18 22:00:00,1.3539,1.3631,1.332,1.3516,934077.4
2025-07-18 23:00:00,1.352,1.37,1.333,1.3569,1317319.4
2025-07-19 00:00:00,1.3567,1.3567,1.2385,1.2517,2464688.0
2025-07-19 01:00:00,1.2519,1.2588,1.2171,1.2455,1756256.7
2025-07-19 02:00:00,1.245,1.2879,1.2391,1.2699,1089597.4
2025-07-19 03:00:00,1.2695,1.2742,1.2433,1.2538,1077448.7
2025-07-19 04:00:00,1.2536,1.2689,1.2442,1.264,1437608.7
2025-07-19 05:00:00,1.2638,1.2696,1.2472,1.2609,1072133.0
2025-07-19 06:00:00,1.2606,1.2613,1.2391,1.2479,1531136.6
2025-07-19 07:00:00,1.2473,1.2523,1.2287,1.2404,1869219.4
2025-07-19 08:00:00,1.2403,1.2413,1.217,1.2263,2283912.8
2025-07-19 09:00:00,1.2262,1.2422,1.2219,1.2314,1811047.0
2025-07-19 10:00:00,1.2313,1.3043,1.2194,1.2725,2845125.4
2025-07-19 11:00:00,1.2726,1.2814,1.2219,1.2248,3236160.1
2025-07-19 12:00:00,1.2245,1.2662,1.21,1.2571,3341513.1
2025-07-19 13:00:00,1.2567,1.2719,1.23,1.2373,3062245.0
2025-07-19 14:00:00,1.2373,1.2411,1.216,1.2209,3179285.1
2025-07-19 15:00:00,1.2209,1.2605,1.218,1.2349,3654555.4
2025-07-19 16:00:00,1.2348,1.2538,1.2245,1.2359,2603613.0
