Date,Open,High,Low,Close,Volume
2025-07-17 12:00:00,0.2,1.7777,0.2,1.5322,101106541.6
2025-07-17 16:00:00,1.5346,2.0561,1.45,1.846,107538980.6
2025-07-17 20:00:00,1.8446,1.9455,1.6228,1.7055,32260791.7
2025-07-18 00:00:00,1.7031,1.7555,1.46,1.5117,20022767.4
2025-07-18 04:00:00,1.5113,1.585,1.355,1.41,21195706.9
2025-07-18 08:00:00,1.41,1.5247,1.41,1.4628,13458046.4
2025-07-18 12:00:00,1.4631,1.5061,1.3886,1.4081,12994789.7
2025-07-18 16:00:00,1.4082,1.4172,1.3409,1.3522,7127595.3
2025-07-18 20:00:00,1.3522,1.3816,1.3134,1.3569,4802418.6
2025-07-19 00:00:00,1.3567,1.3567,1.2171,1.2538,6387990.8
2025-07-19 04:00:00,1.2536,1.2696,1.2287,1.2404,5910097.7
2025-07-19 08:00:00,1.2403,1.3043,1.217,1.2248,10176245.3
2025-07-19 12:00:00,1.2245,1.2719,1.21,1.2349,13237598.6
2025-07-19 16:00:00,1.2348,1.256,1.1575,1.1969,9592645.7
2025-07-19 20:00:00,1.1969,1.233,1.1795,1.2307,4971195.3
2025-07-20 00:00:00,1.2304,1.2775,1.2046,1.2538,9643292.0
2025-07-20 04:00:00,1.2538,1.2557,1.2133,1.2387,10763435.1
2025-07-20 08:00:00,1.2387,1.2803,1.2307,1.2478,15960063.4
2025-07-20 12:00:00,1.2478,1.263,1.2357,1.2529,11809397.7
2025-07-20 16:00:00,1.253,1.29,1.2175,1.2639,10539187.0
2025-07-20 20:00:00,1.264,1.2957,1.2258,1.2576,5575659.1
2025-07-21 00:00:00,1.2575,1.2763,1.237,1.2592,7138421.7
2025-07-21 04:00:00,1.2589,1.2789,1.2523,1.2633,10081493.1
2025-07-21 08:00:00,1.2631,1.2846,1.2468,1.2708,11514305.2
2025-07-21 12:00:00,1.2708,1.3339,1.2617,1.2938,14790556.7
2025-07-21 16:00:00,1.2939,1.3146,1.2527,1.2748,14276844.5
2025-07-21 20:00:00,1.2749,1.2843,1.2536,1.264,6452892.7
2025-07-22 00:00:00,1.264,1.2992,1.2197,1.2296,9434289.2
2025-07-22 04:00:00,1.2297,1.2359,1.1946,1.2227,20931733.9
2025-07-22 08:00:00,1.2227,1.2296,1.2004,1.2261,15049627.4
2025-07-22 12:00:00,1.226,1.24,1.2015,1.2285,21531407.5
2025-07-22 16:00:00,1.2285,1.2664,1.2225,1.2546,15263922.5
2025-07-22 20:00:00,1.2546,1.2659,1.2411,1.254,6136577.1
2025-07-23 00:00:00,1.254,1.2604,1.2319,1.2577,12367623.5
2025-07-23 04:00:00,1.2577,1.3087,1.2522,1.2803,24988670.9
2025-07-23 08:00:00,1.2802,1.3076,1.2413,1.2818,23223108.5
2025-07-23 12:00:00,1.2818,1.3891,1.2742,1.3473,36825945.8
2025-07-23 16:00:00,1.3474,1.3753,1.254,1.2872,20248279.1
2025-07-23 20:00:00,1.2872,1.2966,1.2181,1.273,12654035.4
2025-07-24 00:00:00,1.2729,1.5745,1.2713,1.448,31237921.5
2025-07-24 04:00:00,1.4477,1.5272,1.3375,1.4568,36337256.6
2025-07-24 08:00:00,1.4565,1.575,1.4176,1.4606,39850905.7
