Date,Open,High,Low,Close,Volume
2025-04-22 13:00:00,0.09,0.298,0.09,0.2522,122715012.8
2025-04-22 14:00:00,0.2526,0.2666,0.2462,0.2521,29731356.2
2025-04-22 15:00:00,0.2519,0.275,0.2509,0.2673,30111463.4
2025-04-22 16:00:00,0.2673,0.2769,0.2481,0.2554,25367025.9
2025-04-22 17:00:00,0.2551,0.2589,0.2431,0.2495,13556913.9
2025-04-22 18:00:00,0.2493,0.2547,0.2469,0.2517,9412345.2
2025-04-22 19:00:00,0.2518,0.2576,0.246,0.2511,12110559.5
2025-04-22 20:00:00,0.2514,0.2534,0.2473,0.2502,7729659.1
2025-04-22 21:00:00,0.2503,0.2674,0.2483,0.257,13165825.4
2025-04-22 22:00:00,0.2571,0.2667,0.2544,0.2645,9703129.3
2025-04-22 23:00:00,0.2647,0.2765,0.2614,0.2712,18635239.8
2025-04-23 00:00:00,0.2712,0.2758,0.26,0.2713,11840143.0
2025-04-23 01:00:00,0.2712,0.3666,0.2707,0.322,59711996.5
2025-04-23 02:00:00,0.3224,0.3355,0.3041,0.3192,24463189.2
2025-04-23 03:00:00,0.319,0.3288,0.3035,0.3095,18064099.7
2025-04-23 04:00:00,0.3095,0.3127,0.2714,0.284,29104468.4
2025-04-23 05:00:00,0.2839,0.292,0.2801,0.2887,10637769.1
2025-04-23 06:00:00,0.2886,0.3032,0.2751,0.2809,18452735.8
2025-04-23 07:00:00,0.2811,0.2834,0.2572,0.2676,20063742.8
2025-04-23 08:00:00,0.2677,0.275,0.2647,0.2727,9610389.3
2025-04-23 09:00:00,0.2729,0.2762,0.265,0.2736,9114421.3
2025-04-23 10:00:00,0.2737,0.2738,0.2642,0.2692,8488112.2
2025-04-23 11:00:00,0.2692,0.2743,0.2675,0.2713,7045316.2
2025-04-23 12:00:00,0.2715,0.2866,0.27,0.2742,19398240.6
2025-04-23 13:00:00,0.2742,0.2759,0.2566,0.2603,17311660.6
2025-04-23 14:00:00,0.2603,0.2699,0.2577,0.2601,11703778.5
2025-04-23 15:00:00,0.2602,0.2616,0.231,0.2453,23859973.5
2025-04-23 16:00:00,0.2448,0.2459,0.2121,0.2234,24182791.9
2025-04-23 17:00:00,0.2234,0.2285,0.2203,0.225,8223079.1
2025-04-23 18:00:00,0.2251,0.231,0.2174,0.223,7663425.3
2025-04-23 19:00:00,0.2229,0.2256,0.2156,0.2235,7207250.7
2025-04-23 20:00:00,0.2234,0.2311,0.221,0.229,7176377.1
2025-04-23 21:00:00,0.2288,0.2387,0.2211,0.2258,8043185.2
2025-04-23 22:00:00,0.2257,0.23,0.2232,0.2258,3450344.5
2025-04-23 23:00:00,0.2259,0.2298,0.2215,0.2238,5831935.1
2025-04-24 00:00:00,0.2235,0.2251,0.2053,0.2095,13607596.1
2025-04-24 01:00:00,0.2093,0.2175,0.2059,0.2123,5489800.0
2025-04-24 02:00:00,0.2123,0.2204,0.2093,0.2153,5740797.0
2025-04-24 03:00:00,0.2153,0.2189,0.2026,0.2056,6665431.5
2025-04-24 04:00:00,0.2056,0.2147,0.2041,0.2104,5656933.1
2025-04-24 05:00:00,0.2104,0.214,0.208,0.2109,4973411.5
2025-04-24 06:00:00,0.2109,0.2136,0.2074,0.2119,4716581.9
2025-04-24 07:00:00,0.2118,0.2151,0.2062,0.2077,3928912.7
