Date,Open,High,Low,Close,Volume
2022-05-09 08:00:00,2.81,3.89,2.15,2.206,6403949.07
2022-05-09 12:00:00,2.207,2.725,2.173,2.261,3884805.15
2022-05-09 16:00:00,2.252,2.311,1.802,1.908,2344593.62
2022-05-09 20:00:00,1.908,2.339,1.908,2.0,1885323.41
2022-05-10 00:00:00,2.0,2.138,1.69,1.979,2275369.48
2022-05-10 04:00:00,1.979,2.1,1.811,1.961,4178275.15
2022-05-10 08:00:00,1.961,2.199,1.901,2.12,1239867.92
2022-05-10 12:00:00,2.12,2.37,2.08,2.107,1443581.45
2022-05-10 16:00:00,2.118,2.19,2.063,2.08,357970.05
2022-05-10 20:00:00,2.087,2.087,1.842,2.009,572476.87
2022-05-11 00:00:00,2.011,2.031,1.84,1.949,716476.83
2022-05-11 04:00:00,1.949,1.997,1.521,1.553,1191240.43
2022-05-11 08:00:00,1.549,1.753,1.524,1.602,861684.6
2022-05-11 12:00:00,1.6,1.938,1.5,1.609,1248865.92
2022-05-11 16:00:00,1.603,1.629,1.5,1.501,356319.89
2022-05-11 20:00:00,1.506,1.599,1.386,1.523,495853.91
2022-05-12 00:00:00,1.523,1.69,1.394,1.417,386538.06
2022-05-12 04:00:00,1.408,1.5,1.194,1.443,646900.95
2022-05-12 08:00:00,1.442,1.471,1.242,1.43,412838.64
2022-05-12 12:00:00,1.43,1.678,1.401,1.512,475905.22
2022-05-12 16:00:00,1.512,1.542,1.3,1.36,384171.64
2022-05-12 20:00:00,1.36,1.459,1.304,1.404,111363.03
2022-05-13 00:00:00,1.404,1.639,1.368,1.631,385943.56
2022-05-13 04:00:00,1.631,1.759,1.573,1.608,322535.78
2022-05-13 08:00:00,1.608,1.696,1.576,1.639,330478.35
2022-05-13 12:00:00,1.639,1.8,1.59,1.688,660269.29
2022-05-13 16:00:00,1.69,1.808,1.418,1.504,344268.92
2022-05-13 20:00:00,1.504,1.515,1.478,1.497,116168.74
2022-05-14 00:00:00,1.499,1.557,1.439,1.441,262955.44
2022-05-14 04:00:00,1.45,1.494,1.401,1.418,191319.74
2022-05-14 08:00:00,1.415,1.485,1.362,1.37,214605.82
2022-05-14 12:00:00,1.368,1.427,1.33,1.33,193502.21
2022-05-14 16:00:00,1.33,1.411,1.33,1.402,186468.38
2022-05-14 20:00:00,1.402,1.5,1.38,1.488,144337.55
2022-05-15 00:00:00,1.489,1.537,1.421,1.424,157702.95
2022-05-15 04:00:00,1.423,1.427,1.33,1.357,139270.99
2022-05-15 08:00:00,1.361,1.439,1.339,1.43,129118.38
2022-05-15 12:00:00,1.435,1.5,1.367,1.396,238128.82
2022-05-15 16:00:00,1.391,1.43,1.37,1.396,116336.96
2022-05-15 20:00:00,1.394,1.521,1.39,1.468,173791.25
2022-05-16 00:00:00,1.47,1.514,1.416,1.479,107484.26
2022-05-16 04:00:00,1.477,1.498,1.387,1.394,151081.03
2022-05-16 08:00:00,1.391,1.475,1.368,1.371,163961.57
2022-05-16 12:00:00,1.372,1.392,1.34,1.375,170424.0
2022-05-16 16:00:00,1.374,1.464,1.361,1.398,156986.84
2022-05-16 20:00:00,1.397,1.441,1.396,1.432,27256.37
2022-05-17 00:00:00,1.431,1.5,1.431,1.5,122482.36
2022-05-17 04:00:00,1.5,1.555,1.437,1.457,94418.28
2022-05-17 08:00:00,1.458,1.512,1.453,1.493,184618.79
2022-05-17 12:00:00,1.49,1.555,1.46,1.495,327329.77
2022-05-17 16:00:00,1.495,1.51,1.381,1.425,196918.3
2022-05-17 20:00:00,1.425,1.565,1.408,1.533,168402.54
2022-05-18 00:00:00,1.529,1.639,1.515,1.561,258835.51
2022-05-18 04:00:00,1.56,1.57,1.497,1.502,148366.79
2022-05-18 08:00:00,1.502,1.524,1.46,1.467,77267.28
2022-05-18 12:00:00,1.468,1.47,1.374,1.377,202135.97
2022-05-18 16:00:00,1.377,1.45,1.37,1.442,111106.99
2022-05-18 20:00:00,1.446,1.449,1.36,1.36,137873.63
2022-05-19 00:00:00,1.363,1.39,1.36,1.378,545584.36
2022-05-19 04:00:00,1.379,1.395,1.377,1.386,46666.74
2022-05-19 08:00:00,1.39,1.404,1.36,1.374,241591.22
2022-05-19 12:00:00,1.374,1.45,1.349,1.42,430819.44
2022-05-19 16:00:00,1.418,1.423,1.37,1.385,58634.92
2022-05-19 20:00:00,1.385,1.449,1.384,1.419,61064.94
2022-05-20 00:00:00,1.42,1.478,1.4,1.444,89331.76
2022-05-20 04:00:00,1.445,1.467,1.432,1.432,60942.86
2022-05-20 08:00:00,1.437,1.438,1.417,1.423,56117.48
2022-05-20 12:00:00,1.423,1.452,1.35,1.351,286946.98
2022-05-20 16:00:00,1.351,1.355,1.311,1.322,107083.0
2022-05-20 20:00:00,1.322,1.332,1.301,1.313,52916.03
2022-05-21 00:00:00,1.313,1.336,1.29,1.311,112500.1
2022-05-21 04:00:00,1.311,1.35,1.305,1.313,115313.2
2022-05-21 08:00:00,1.313,1.32,1.285,1.287,75405.7
2022-05-21 12:00:00,1.287,1.306,1.266,1.289,132920.21
2022-05-21 16:00:00,1.289,1.32,1.289,1.299,101020.88
2022-05-21 20:00:00,1.299,1.349,1.277,1.336,126862.67
2022-05-22 00:00:00,1.336,1.359,1.285,1.295,114878.94
2022-05-22 04:00:00,1.295,1.302,1.268,1.275,84719.35
2022-05-22 08:00:00,1.27,1.45,1.268,1.331,348008.36
2022-05-22 12:00:00,1.331,1.397,1.299,1.3,125095.45
2022-05-22 16:00:00,1.3,1.306,1.29,1.291,134062.23
2022-05-22 20:00:00,1.291,1.374,1.288,1.32,216801.36
2022-05-23 00:00:00,1.32,1.322,1.292,1.295,66080.49
2022-05-23 04:00:00,1.295,1.344,1.291,1.315,137057.04
2022-05-23 08:00:00,1.315,1.355,1.2,1.266,684351.45
2022-05-23 12:00:00,1.266,1.282,1.217,1.256,243486.23
2022-05-23 16:00:00,1.256,1.289,1.238,1.246,239830.74
2022-05-23 20:00:00,1.247,1.259,1.152,1.17,231547.25
2022-05-24 00:00:00,1.171,1.18,1.154,1.167,114534.19
2022-05-24 04:00:00,1.167,1.182,1.157,1.165,125383.56
2022-05-24 08:00:00,1.165,1.184,1.145,1.15,93135.8
2022-05-24 12:00:00,1.149,1.159,1.08,1.104,352967.4
2022-05-24 16:00:00,1.104,1.107,1.056,1.074,558717.79
