Date,Open,High,Low,Close,Volume
2020-12-30 04:00:00,13.88,31.415,9.57,10.996,675549.951
2020-12-30 08:00:00,10.996,11.039,6.9,7.027,358578.144
2020-12-30 12:00:00,7.056,7.752,6.162,6.698,383509.651
2020-12-30 16:00:00,6.665,9.328,6.664,9.319,145833.16
2020-12-30 20:00:00,9.327,10.0,8.319,8.926,132806.806
2020-12-31 00:00:00,8.922,8.927,7.113,7.554,41344.38
2020-12-31 04:00:00,7.554,8.342,6.71,7.3,91923.862
2020-12-31 08:00:00,7.3,7.554,6.928,7.401,70824.195
2020-12-31 12:00:00,7.423,7.455,6.828,6.828,65914.379
2020-12-31 16:00:00,6.85,7.023,6.715,6.715,28143.107
2020-12-31 20:00:00,6.768,6.82,6.26,6.274,43094.988
2021-01-01 00:00:00,6.276,6.398,5.8,6.196,65894.705
2021-01-01 04:00:00,6.189,6.4,5.586,5.636,73072.875
2021-01-01 08:00:00,5.644,5.717,5.104,5.23,60232.77
2021-01-01 12:00:00,5.178,6.97,5.1,5.918,129509.897
2021-01-01 16:00:00,5.892,6.166,5.437,5.5,32967.128
2021-01-01 20:00:00,5.495,6.666,5.379,6.27,73143.802
2021-01-02 00:00:00,6.293,6.5,5.456,5.456,37542.066
2021-01-02 04:00:00,5.449,6.7,5.449,6.201,87456.324
2021-01-02 08:00:00,6.201,6.999,6.184,6.829,78471.896
2021-01-02 12:00:00,6.829,6.829,5.922,6.013,82095.801
2021-01-02 16:00:00,6.013,6.05,5.459,5.521,55252.59
2021-01-02 20:00:00,5.52,5.787,5.4,5.628,20120.228
2021-01-03 00:00:00,5.619,5.91,5.422,5.493,11067.079
2021-01-03 04:00:00,5.492,5.529,5.26,5.308,15660.775
2021-01-03 08:00:00,5.35,5.364,5.2,5.28,19567.824
2021-01-03 12:00:00,5.254,5.376,5.1,5.142,30849.573
2021-01-03 16:00:00,5.142,5.324,5.1,5.117,33614.647
2021-01-03 20:00:00,5.124,5.247,4.683,4.7,37087.048
2021-01-04 00:00:00,4.7,5.22,4.622,4.891,37878.341
2021-01-04 04:00:00,4.892,5.083,4.5,4.536,51489.531
2021-01-04 08:00:00,4.529,4.65,4.0,4.115,36642.736
2021-01-04 12:00:00,4.133,4.44,4.104,4.302,16209.562
2021-01-04 16:00:00,4.303,4.74,4.203,4.508,20786.102
2021-01-04 20:00:00,4.539,4.7,4.34,4.451,12937.538
2021-01-05 00:00:00,4.45,4.669,4.302,4.359,15217.195
2021-01-05 04:00:00,4.305,4.449,4.106,4.25,17881.445
2021-01-05 08:00:00,4.25,4.65,4.164,4.459,31663.87
2021-01-05 12:00:00,4.459,4.6,4.236,4.348,14535.867
2021-01-05 16:00:00,4.368,4.482,4.3,4.391,12329.759
2021-01-05 20:00:00,4.391,4.482,4.0,4.0,31401.79
2021-01-06 00:00:00,4.001,4.15,3.856,4.068,22909.356
2021-01-06 04:00:00,4.038,4.329,3.9,4.01,41053.871
2021-01-06 08:00:00,3.988,4.13,3.93,3.986,23593.459
2021-01-06 12:00:00,3.986,4.1,3.912,3.954,33537.526
2021-01-06 16:00:00,3.976,3.997,3.921,3.934,14756.265
2021-01-06 20:00:00,3.934,4.035,3.9,3.9,24719.761
2021-01-07 00:00:00,3.931,4.085,3.877,4.0,11975.281
2021-01-07 04:00:00,4.0,4.057,3.9,3.9,11885.28
2021-01-07 08:00:00,3.901,3.97,3.88,3.881,13541.383
2021-01-07 12:00:00,3.88,3.925,3.655,3.71,41451.112
2021-01-07 16:00:00,3.719,3.84,3.627,3.748,37162.448
