Date,Open,High,Low,Close,Volume
2024-04-17 12:00:00,1.0,55.5,1.0,33.11,3832009.09
2024-04-17 13:00:00,33.12,36.5,31.81,32.52,1042516.6
2024-04-17 14:00:00,32.52,32.79,29.9,30.56,897386.32
2024-04-17 15:00:00,30.57,32.16,29.36,30.96,623716.59
2024-04-17 16:00:00,30.97,33.13,30.06,31.77,450751.89
2024-04-17 17:00:00,31.77,32.87,30.45,32.45,257080.52
2024-04-17 18:00:00,32.46,32.86,30.12,30.45,264583.68
2024-04-17 19:00:00,30.45,31.12,29.52,29.81,181252.31
2024-04-17 20:00:00,29.81,29.98,27.51,28.27,326768.05
2024-04-17 21:00:00,28.24,28.72,27.67,27.82,173225.81
2024-04-17 22:00:00,27.81,29.8,27.6,29.12,193311.69
2024-04-17 23:00:00,29.13,29.44,26.76,27.14,247543.32
2024-04-18 00:00:00,27.14,27.34,25.54,26.04,315917.64
2024-04-18 01:00:00,26.04,26.8,25.13,25.66,211171.56
2024-04-18 02:00:00,25.63,26.7,25.3,25.76,195271.7
2024-04-18 03:00:00,25.78,26.57,25.6,25.81,123909.85
2024-04-18 04:00:00,25.81,25.95,24.0,24.36,324162.05
2024-04-18 05:00:00,24.35,25.3,23.6,24.63,307925.02
2024-04-18 06:00:00,24.63,25.2,23.11,23.43,302252.99
2024-04-18 07:00:00,23.43,24.68,23.27,24.43,304434.66
2024-04-18 08:00:00,24.43,25.53,23.8,24.57,372565.79
2024-04-18 09:00:00,24.58,24.94,24.12,24.83,175357.09
2024-04-18 10:00:00,24.84,25.5,24.31,24.61,181013.44
2024-04-18 11:00:00,24.62,26.8,24.3,25.46,329659.14
2024-04-18 12:00:00,25.42,25.5,23.96,24.21,176912.8
2024-04-18 13:00:00,24.22,24.58,23.81,24.3,119459.99
2024-04-18 14:00:00,24.28,26.2,23.88,25.54,372063.9
2024-04-18 15:00:00,25.53,26.0,24.82,24.89,214658.33
2024-04-18 16:00:00,24.9,24.97,24.41,24.67,107936.02
2024-04-18 17:00:00,24.67,24.95,24.2,24.71,72975.53
2024-04-18 18:00:00,24.7,24.98,24.35,24.71,59680.24
2024-04-18 19:00:00,24.72,25.45,24.63,24.98,91469.16
2024-04-18 20:00:00,24.97,25.08,24.65,24.91,44538.45
2024-04-18 21:00:00,24.92,25.7,24.89,25.44,69302.16
2024-04-18 22:00:00,25.45,25.67,25.01,25.62,57723.06
2024-04-18 23:00:00,25.62,25.94,24.91,25.01,77056.59
2024-04-19 00:00:00,25.0,25.01,24.1,24.21,94516.94
2024-04-19 01:00:00,24.21,24.34,23.3,23.51,149702.36
2024-04-19 02:00:00,23.53,23.77,22.14,22.89,249975.21
