Date,Open,High,Low,Close,Volume
2024-11-11 08:00:00,0.1047,0.48,0.1047,0.4543,161899418.2
2024-11-11 12:00:00,0.4543,0.464,0.378,0.4057,196530787.9
2024-11-11 16:00:00,0.4054,0.417,0.3507,0.3557,100468797.4
2024-11-11 20:00:00,0.3557,0.3966,0.328,0.3908,109671906.2
2024-11-12 00:00:00,0.3909,0.4775,0.38,0.4539,135074934.3
2024-11-12 04:00:00,0.454,0.55,0.4467,0.4806,173503378.4
2024-11-12 08:00:00,0.481,0.4899,0.3854,0.4367,142336499.2
2024-11-12 12:00:00,0.4367,0.4836,0.4029,0.4813,122003482.6
2024-11-12 16:00:00,0.4813,0.495,0.4271,0.4812,80708152.8
2024-11-12 20:00:00,0.4809,0.4976,0.4314,0.4419,57587708.7
2024-11-13 00:00:00,0.4422,0.92,0.4144,0.825,461138679.8
2024-11-13 04:00:00,0.8253,0.989,0.7503,0.9377,372261257.3
2024-11-13 08:00:00,0.938,1.48,0.8856,1.3412,506510185.7
2024-11-13 12:00:00,1.3412,1.7923,1.32,1.6613,528118696.1
2024-11-13 16:00:00,1.6611,1.8598,1.4298,1.4807,243960067.4
2024-11-13 20:00:00,1.4805,1.75,1.4582,1.6921,117541049.6
2024-11-14 00:00:00,1.692,2.5,1.65,2.1573,344494733.3
2024-11-14 04:00:00,2.1557,2.3074,1.9573,2.1131,137852898.0
2024-11-14 08:00:00,2.1125,2.2263,1.734,1.8764,196666052.6
2024-11-14 12:00:00,1.876,2.1599,1.7659,1.9304,228641191.1
2024-11-14 16:00:00,1.9303,2.0987,1.6202,1.7304,143716557.4
2024-11-14 20:00:00,1.7302,1.88,1.6907,1.7646,93281718.9
2024-11-15 00:00:00,1.7641,1.859,1.5777,1.6901,132725535.9
2024-11-15 04:00:00,1.6901,1.9,1.53,1.8124,129233525.5
2024-11-15 08:00:00,1.8124,2.022,1.7442,1.9271,137304450.4
2024-11-15 12:00:00,1.9271,1.974,1.6479,1.908,144547734.3
2024-11-15 16:00:00,1.9067,2.2041,1.67,1.7687,253116044.4
2024-11-15 20:00:00,1.7687,1.8456,1.6944,1.7312,66135612.1
2024-11-16 00:00:00,1.7313,1.9267,1.6243,1.8417,83833876.9
2024-11-16 04:00:00,1.8418,1.9463,1.8159,1.8752,57901959.5
2024-11-16 08:00:00,1.875,1.9155,1.7708,1.8417,54234658.8
2024-11-16 12:00:00,1.8416,1.8538,1.7,1.7292,54570722.1
2024-11-16 16:00:00,1.7292,1.7691,1.6845,1.7356,35496113.1
2024-11-16 20:00:00,1.7358,1.742,1.65,1.6861,26961143.7
2024-11-17 00:00:00,1.6868,1.7206,1.4564,1.569,83727281.4
2024-11-17 04:00:00,1.5691,1.6424,1.5402,1.6305,48427364.2
2024-11-17 08:00:00,1.6305,1.6651,1.5649,1.5867,41066485.7
2024-11-17 12:00:00,1.5871,1.5985,1.534,1.5426,33494272.2
2024-11-17 16:00:00,1.5427,1.6616,1.5055,1.6407,49496028.8
2024-11-17 20:00:00,1.6397,1.8874,1.6058,1.7907,96734748.3
2024-11-18 00:00:00,1.791,1.9414,1.71,1.7406,73108489.4
2024-11-18 04:00:00,1.7409,1.7896,1.6189,1.667,47918319.0
2024-11-18 08:00:00,1.6677,1.6734,1.5635,1.5937,44194305.0
2024-11-18 12:00:00,1.5937,1.6918,1.56,1.6778,47923680.5
2024-11-18 16:00:00,1.678,1.7149,1.5345,1.5611,44063495.0
2024-11-18 20:00:00,1.561,1.6242,1.5497,1.5989,20004465.6
2024-11-19 00:00:00,1.599,1.6252,1.5497,1.583,24735516.1
2024-11-19 04:00:00,1.5825,1.7733,1.5,1.7179,77371642.5
2024-11-19 08:00:00,1.7192,1.7814,1.583,1.6385,65103619.6
2024-11-19 12:00:00,1.6386,1.7298,1.6123,1.65,46526731.5
2024-11-19 16:00:00,1.65,1.874,1.6493,1.7561,89153871.5
2024-11-19 20:00:00,1.7564,1.7869,1.6481,1.7012,52024719.8
2024-11-20 00:00:00,1.7015,1.7265,1.5679,1.629,58676192.4
2024-11-20 04:00:00,1.6288,1.6416,1.5858,1.6395,26410232.2
2024-11-20 08:00:00,1.6396,1.6532,1.55,1.5901,31042431.2
2024-11-20 12:00:00,1.5901,1.635,1.55,1.569,42007741.1
2024-11-20 16:00:00,1.5693,1.5763,1.41,1.4365,69267962.9
2024-11-20 20:00:00,1.4365,1.4838,1.418,1.4272,24307786.7
2024-11-21 00:00:00,1.427,1.4825,1.2593,1.3175,101211380.4
2024-11-21 04:00:00,1.3179,1.4765,1.3018,1.3624,92827129.4
2024-11-21 08:00:00,1.362,1.3918,1.3025,1.3348,50225051.8
2024-11-21 12:00:00,1.3349,1.5399,1.329,1.3612,139145691.8
2024-11-21 16:00:00,1.3614,1.3876,1.309,1.3453,58192989.5
2024-11-21 20:00:00,1.3454,1.3698,1.3026,1.3488,26711427.5
2024-11-22 00:00:00,1.3487,1.3631,1.2154,1.2879,76420499.0
2024-11-22 04:00:00,1.2881,1.3232,1.2345,1.2397,43708505.1
2024-11-22 08:00:00,1.2396,1.29,1.2334,1.2598,39713299.4
2024-11-22 12:00:00,1.2588,1.27,1.1541,1.1685,119690620.3
2024-11-22 16:00:00,1.1685,1.218,1.0801,1.1074,78221444.6
2024-11-22 20:00:00,1.1074,1.1359,1.0414,1.1295,70869458.8
2024-11-23 00:00:00,1.1293,1.268,1.06,1.243,115653280.1
2024-11-23 04:00:00,1.2433,1.2854,1.1666,1.1708,75570947.8
2024-11-23 08:00:00,1.1707,1.2182,1.15,1.1577,47830028.5
2024-11-23 12:00:00,1.1575,1.283,1.1561,1.2127,71557672.4
2024-11-23 16:00:00,1.2126,1.2174,1.1366,1.1409,55082757.0
2024-11-23 20:00:00,1.1409,1.1485,1.0913,1.1161,28669029.0
2024-11-24 00:00:00,1.1165,1.21,1.109,1.1738,40779303.5
2024-11-24 04:00:00,1.1737,1.22,1.1445,1.1794,38344178.0
2024-11-24 08:00:00,1.1795,1.1808,1.0701,1.0847,50598959.6
2024-11-24 12:00:00,1.0847,1.1945,1.0668,1.1709,88499108.8
2024-11-24 16:00:00,1.1709,1.2761,1.1678,1.2103,98106127.0
2024-11-24 20:00:00,1.2099,1.2402,1.161,1.1678,33884172.0
2024-11-25 00:00:00,1.1677,1.1681,1.1195,1.1476,35549894.8
2024-11-25 04:00:00,1.1476,1.4169,1.1454,1.3287,129187573.1
2024-11-25 08:00:00,1.3288,1.3454,1.2227,1.2344,64647893.0
2024-11-25 12:00:00,1.2344,1.2353,1.1127,1.173,103288800.6
