Date,Open,High,Low,Close,Volume
2024-07-26 08:00:00,7.03,7.03,6.303,6.472,630741.18
2024-07-26 09:00:00,6.473,6.842,6.4,6.625,477184.08
2024-07-26 10:00:00,6.628,7.03,6.602,6.881,698968.07
2024-07-26 11:00:00,6.879,7.0,6.741,6.797,406586.17
2024-07-26 12:00:00,6.795,6.93,6.68,6.829,303021.75
2024-07-26 13:00:00,6.829,6.91,6.774,6.854,212392.22
2024-07-26 14:00:00,6.86,6.905,6.7,6.798,201942.8
2024-07-26 15:00:00,6.804,6.85,6.771,6.824,110906.69
2024-07-26 16:00:00,6.817,6.856,6.759,6.772,131383.78
2024-07-26 17:00:00,6.773,6.872,6.765,6.821,103262.68
2024-07-26 18:00:00,6.821,6.904,6.818,6.897,68103.22
2024-07-26 19:00:00,6.903,6.928,6.838,6.851,448582.1
2024-07-26 20:00:00,6.855,6.869,6.741,6.823,129222.53
2024-07-26 21:00:00,6.824,6.85,6.761,6.808,85506.11
2024-07-26 22:00:00,6.809,6.821,6.774,6.811,53215.61
2024-07-26 23:00:00,6.81,6.813,6.765,6.777,71632.63
2024-07-27 00:00:00,6.773,6.773,6.525,6.698,267064.96
2024-07-27 01:00:00,6.698,6.701,6.585,6.594,97067.8
2024-07-27 02:00:00,6.594,6.692,6.561,6.685,131878.96
2024-07-27 03:00:00,6.685,6.73,6.652,6.714,59833.18
2024-07-27 04:00:00,6.714,6.731,6.65,6.671,104412.4
2024-07-27 05:00:00,6.674,6.767,6.672,6.719,41141.86
2024-07-27 06:00:00,6.723,6.815,6.718,6.794,72876.53
2024-07-27 07:00:00,6.793,6.816,6.76,6.806,63081.2
2024-07-27 08:00:00,6.809,6.846,6.77,6.821,80958.51
2024-07-27 09:00:00,6.826,6.85,6.799,6.818,67500.74
2024-07-27 10:00:00,6.819,6.825,6.731,6.786,72030.62
2024-07-27 11:00:00,6.787,6.793,6.719,6.728,60815.23
2024-07-27 12:00:00,6.728,6.781,6.7,6.773,78245.28
2024-07-27 13:00:00,6.773,6.802,6.629,6.67,333597.19
2024-07-27 14:00:00,6.67,6.716,6.525,6.634,302377.47
2024-07-27 15:00:00,6.627,6.644,6.53,6.55,202873.21
2024-07-27 16:00:00,6.551,6.644,6.48,6.548,127996.91
2024-07-27 17:00:00,6.549,6.565,6.5,6.539,89103.2
2024-07-27 18:00:00,6.537,6.638,6.531,6.56,60611.44
2024-07-27 19:00:00,6.557,6.588,6.48,6.538,130064.24
2024-07-27 20:00:00,6.538,6.593,6.35,6.508,244249.16
2024-07-27 21:00:00,6.503,6.654,6.484,6.638,134495.18
2024-07-27 22:00:00,6.638,6.638,6.572,6.574,39157.31
2024-07-27 23:00:00,6.572,6.573,6.45,6.465,40614.6
2024-07-28 00:00:00,6.463,6.513,6.352,6.471,79491.8
2024-07-28 01:00:00,6.472,6.53,6.471,6.521,28154.82
2024-07-28 02:00:00,6.52,6.552,6.488,6.497,30177.49
2024-07-28 03:00:00,6.491,6.497,6.463,6.47,27187.47
2024-07-28 04:00:00,6.469,6.479,6.413,6.413,41688.74
2024-07-28 05:00:00,6.413,6.452,6.38,6.452,90473.24
2024-07-28 06:00:00,6.452,6.473,6.436,6.459,38482.91
2024-07-28 07:00:00,6.46,6.501,6.428,6.501,31524.97
2024-07-28 08:00:00,6.498,6.525,6.45,6.496,43022.09
2024-07-28 09:00:00,6.495,6.505,6.43,6.435,36573.18
2024-07-28 10:00:00,6.433,6.47,6.424,6.435,34918.43
2024-07-28 11:00:00,6.436,6.472,6.379,6.401,97087.5
2024-07-28 12:00:00,6.404,6.487,6.379,6.469,39504.34
2024-07-28 13:00:00,6.467,6.534,6.391,6.444,250773.39
2024-07-28 14:00:00,6.442,6.442,6.192,6.272,285555.87
2024-07-28 15:00:00,6.267,6.34,6.154,6.29,117998.82
2024-07-28 16:00:00,6.29,6.359,6.271,6.298,103475.19
2024-07-28 17:00:00,6.296,6.345,6.278,6.333,33330.72
2024-07-28 18:00:00,6.341,6.373,6.259,6.324,48875.66
2024-07-28 19:00:00,6.328,6.347,6.26,6.299,49018.05
2024-07-28 20:00:00,6.297,6.37,6.255,6.297,128881.17
2024-07-28 21:00:00,6.304,6.333,6.253,6.284,48594.28
2024-07-28 22:00:00,6.284,6.32,6.232,6.257,30889.09
2024-07-28 23:00:00,6.254,6.294,6.207,6.266,63433.46
2024-07-29 00:00:00,6.262,6.417,6.221,6.366,56180.13
2024-07-29 01:00:00,6.363,6.445,6.362,6.417,57454.37
2024-07-29 02:00:00,6.411,6.477,6.388,6.457,81426.49
2024-07-29 03:00:00,6.453,6.505,6.427,6.451,65664.36
2024-07-29 04:00:00,6.452,6.496,6.412,6.49,41169.86
2024-07-29 05:00:00,6.494,6.5,6.479,6.496,55591.91
2024-07-29 06:00:00,6.496,6.542,6.457,6.496,118284.59
2024-07-29 07:00:00,6.496,6.6,6.49,6.544,100207.04
2024-07-29 08:00:00,6.548,6.591,6.525,6.525,53195.36
2024-07-29 09:00:00,6.529,6.644,6.507,6.635,98417.56
2024-07-29 10:00:00,6.641,6.66,6.583,6.609,96074.19
2024-07-29 11:00:00,6.607,6.64,6.576,6.615,52549.81
2024-07-29 12:00:00,6.619,6.627,6.53,6.59,95137.93
2024-07-29 13:00:00,6.59,6.606,6.41,6.454,172938.94
2024-07-29 14:00:00,6.457,6.501,6.411,6.44,124376.65
2024-07-29 15:00:00,6.442,6.478,6.315,6.454,151269.83
2024-07-29 16:00:00,6.457,6.511,6.222,6.241,458058.07
2024-07-29 17:00:00,6.246,6.316,6.115,6.286,263991.43
2024-07-29 18:00:00,6.289,6.305,6.202,6.243,53124.67
2024-07-29 19:00:00,6.243,6.282,6.204,6.247,45006.3
2024-07-29 20:00:00,6.246,6.269,6.211,6.247,49913.35
2024-07-29 21:00:00,6.246,6.27,6.184,6.231,62127.05
2024-07-29 22:00:00,6.231,6.239,6.114,6.211,90076.65
2024-07-29 23:00:00,6.209,6.235,6.135,6.15,51173.0
2024-07-30 00:00:00,6.151,6.24,6.1,6.229,122673.47
2024-07-30 01:00:00,6.229,6.294,6.151,6.187,93736.54
2024-07-30 02:00:00,6.185,6.206,6.101,6.162,76427.65
2024-07-30 03:00:00,6.162,6.256,6.161,6.251,52297.97
2024-07-30 04:00:00,6.252,6.267,6.22,6.261,30043.35
2024-07-30 05:00:00,6.267,6.275,6.125,6.165,83198.54
2024-07-30 06:00:00,6.165,6.228,6.145,6.215,34372.02
2024-07-30 07:00:00,6.219,6.254,6.21,6.232,37786.13
2024-07-30 08:00:00,6.232,6.302,6.18,6.281,160066.94
2024-07-30 09:00:00,6.275,6.29,6.204,6.226,72462.6
2024-07-30 10:00:00,6.225,6.228,6.168,6.182,47554.67
2024-07-30 11:00:00,6.181,6.221,6.155,6.192,43412.22
2024-07-30 12:00:00,6.192,6.208,6.121,6.197,64976.57
2024-07-30 13:00:00,6.202,6.239,6.157,6.163,40064.87
2024-07-30 14:00:00,6.167,6.199,6.134,6.143,65972.1
2024-07-30 15:00:00,6.143,6.192,6.118,6.17,95540.29
2024-07-30 16:00:00,6.17,6.185,6.134,6.153,49385.4
2024-07-30 17:00:00,6.153,6.154,6.031,6.083,133421.38
2024-07-30 18:00:00,6.077,6.092,6.003,6.051,167362.88
2024-07-30 19:00:00,6.049,6.051,5.939,6.002,98721.75
2024-07-30 20:00:00,6.007,6.069,5.921,6.026,102915.15
2024-07-30 21:00:00,6.026,6.035,5.961,6.018,86714.35
2024-07-30 22:00:00,6.019,6.056,5.989,6.015,58382.73
2024-07-30 23:00:00,6.015,6.037,6.002,6.009,21538.74
2024-07-31 00:00:00,6.013,6.165,6.005,6.152,80449.57
2024-07-31 01:00:00,6.152,6.18,6.053,6.117,55351.11
2024-07-31 02:00:00,6.114,6.119,6.05,6.053,37889.12
2024-07-31 03:00:00,6.054,6.087,5.984,6.008,62184.1
2024-07-31 04:00:00,6.003,6.014,5.84,5.874,150461.9
2024-07-31 05:00:00,5.878,6.01,5.739,5.996,187706.68
2024-07-31 06:00:00,6.003,6.041,5.99,6.035,76511.74
2024-07-31 07:00:00,6.033,6.057,5.986,6.003,75784.1
2024-07-31 08:00:00,6.003,6.024,5.818,5.911,219879.42
2024-07-31 09:00:00,5.911,5.956,5.858,5.939,64401.25
2024-07-31 10:00:00,5.939,5.941,5.861,5.878,102671.34
2024-07-31 11:00:00,5.878,5.918,5.873,5.913,49461.36
2024-07-31 12:00:00,5.913,5.929,5.894,5.902,60244.45
2024-07-31 13:00:00,5.901,6.056,5.9,6.0,129350.82
2024-07-31 14:00:00,5.996,6.06,5.9,5.906,141321.11
2024-07-31 15:00:00,5.905,5.918,5.869,5.873,82399.73
2024-07-31 16:00:00,5.872,5.982,5.85,5.898,95364.28
2024-07-31 17:00:00,5.897,5.969,5.818,5.943,80048.76
2024-07-31 18:00:00,5.942,5.971,5.855,5.952,81872.04
2024-07-31 19:00:00,5.952,5.978,5.761,5.8,149478.33
2024-07-31 20:00:00,5.803,5.813,5.701,5.702,181208.71
2024-07-31 21:00:00,5.704,5.793,5.701,5.77,80978.58
2024-07-31 22:00:00,5.769,5.791,5.701,5.763,111813.97
2024-07-31 23:00:00,5.762,5.781,5.725,5.744,80316.64
2024-08-01 00:00:00,5.742,5.879,5.741,5.862,92505.21
2024-08-01 01:00:00,5.865,5.894,5.788,5.827,57927.65
2024-08-01 02:00:00,5.822,5.827,5.742,5.772,74247.57
2024-08-01 03:00:00,5.769,5.772,5.7,5.718,74790.53
2024-08-01 04:00:00,5.719,5.725,5.525,5.552,160145.61
2024-08-01 05:00:00,5.55,5.713,5.5,5.703,114690.04
2024-08-01 06:00:00,5.703,5.76,5.592,5.631,332348.66
2024-08-01 07:00:00,5.629,5.634,5.544,5.558,141884.9
2024-08-01 08:00:00,5.556,5.65,5.555,5.641,65909.47
2024-08-01 09:00:00,5.641,5.702,5.573,5.586,106871.15
2024-08-01 10:00:00,5.586,5.612,5.5,5.608,166465.36
2024-08-01 11:00:00,5.61,5.628,5.48,5.496,371693.2
2024-08-01 12:00:00,5.496,5.643,5.479,5.613,225776.0
2024-08-01 13:00:00,5.614,5.643,5.478,5.603,397271.01
2024-08-01 14:00:00,5.602,5.606,5.28,5.281,465234.11
2024-08-01 15:00:00,5.281,5.297,5.155,5.184,841852.15
2024-08-01 16:00:00,5.183,5.228,5.106,5.186,372168.06
2024-08-01 17:00:00,5.181,5.348,5.117,5.343,271712.94
2024-08-01 18:00:00,5.343,5.493,5.254,5.363,490827.18
2024-08-01 19:00:00,5.364,5.412,5.29,5.307,139941.04
2024-08-01 20:00:00,5.307,5.49,5.258,5.487,192392.34
2024-08-01 21:00:00,5.487,5.583,5.444,5.498,129691.03
2024-08-01 22:00:00,5.499,5.617,5.477,5.586,115820.37
2024-08-01 23:00:00,5.584,5.691,5.574,5.604,103346.29
2024-08-02 00:00:00,5.602,5.649,5.51,5.513,106202.87
2024-08-02 01:00:00,5.515,5.515,5.392,5.411,116434.37
2024-08-02 02:00:00,5.415,5.459,5.311,5.417,102307.14
2024-08-02 03:00:00,5.42,5.487,5.396,5.448,74302.67
2024-08-02 04:00:00,5.453,5.529,5.42,5.499,66766.03
2024-08-02 05:00:00,5.499,5.504,5.369,5.396,68202.99
2024-08-02 06:00:00,5.397,5.472,5.376,5.438,106305.0
2024-08-02 07:00:00,5.434,5.449,5.375,5.381,50170.88
2024-08-02 08:00:00,5.386,5.447,5.34,5.439,72048.65
2024-08-02 09:00:00,5.439,5.449,5.374,5.378,68751.91
2024-08-02 10:00:00,5.377,5.393,5.337,5.342,87058.89
2024-08-02 11:00:00,5.344,5.351,5.265,5.314,159279.93
2024-08-02 12:00:00,5.317,5.357,5.224,5.278,190761.03
2024-08-02 13:00:00,5.28,5.364,5.193,5.274,213155.77
2024-08-02 14:00:00,5.274,5.275,4.933,4.982,516837.52
2024-08-02 15:00:00,4.979,5.137,4.892,5.107,548624.16
2024-08-02 16:00:00,5.104,5.139,5.02,5.076,187450.75
2024-08-02 17:00:00,5.079,5.116,5.033,5.033,96464.47
2024-08-02 18:00:00,5.036,5.061,4.961,4.99,195590.18
2024-08-02 19:00:00,4.99,5.025,4.888,4.919,214147.81
2024-08-02 20:00:00,4.92,4.972,4.859,4.924,241599.43
2024-08-02 21:00:00,4.924,4.972,4.83,4.968,200583.8
2024-08-02 22:00:00,4.965,4.988,4.85,4.898,157875.09
2024-08-02 23:00:00,4.899,4.986,4.87,4.937,129101.76
2024-08-03 00:00:00,4.935,4.998,4.876,4.904,169839.57
2024-08-03 01:00:00,4.903,4.906,4.757,4.879,289705.95
2024-08-03 02:00:00,4.877,4.908,4.799,4.837,128641.38
2024-08-03 03:00:00,4.838,5.0,4.804,4.996,182736.68
2024-08-03 04:00:00,4.991,4.996,4.904,4.908,68534.82
2024-08-03 05:00:00,4.908,4.99,4.9,4.974,52927.2
2024-08-03 06:00:00,4.974,5.096,4.974,5.095,85683.48
2024-08-03 07:00:00,5.093,5.16,5.068,5.134,145736.81
2024-08-03 08:00:00,5.133,5.158,5.053,5.084,145620.82
2024-08-03 09:00:00,5.084,5.084,5.013,5.069,87734.88
2024-08-03 10:00:00,5.07,5.159,5.056,5.144,96386.83
2024-08-03 11:00:00,5.146,5.152,5.111,5.144,73796.7
2024-08-03 12:00:00,5.143,5.187,5.111,5.124,88644.95
2024-08-03 13:00:00,5.124,5.17,5.112,5.17,61403.31
2024-08-03 14:00:00,5.17,5.335,5.166,5.261,334913.25
2024-08-03 15:00:00,5.259,5.316,5.0,5.027,387240.49
2024-08-03 16:00:00,5.025,5.11,4.926,4.965,514398.24
2024-08-03 17:00:00,4.967,4.985,4.794,4.824,412653.56
2024-08-03 18:00:00,4.824,4.87,4.78,4.819,191230.23
2024-08-03 19:00:00,4.818,4.892,4.764,4.81,223351.17
2024-08-03 20:00:00,4.809,4.993,4.779,4.971,218453.23
2024-08-03 21:00:00,4.972,5.087,4.891,5.031,290817.2
2024-08-03 22:00:00,5.029,5.029,4.912,4.952,242161.85
2024-08-03 23:00:00,4.952,4.972,4.87,4.95,152004.58
2024-08-04 00:00:00,4.948,4.991,4.87,4.966,92940.32
2024-08-04 01:00:00,4.967,4.99,4.868,4.938,135685.79
2024-08-04 02:00:00,4.938,5.084,4.92,5.062,169931.9
2024-08-04 03:00:00,5.067,5.074,4.997,5.017,71668.82
2024-08-04 04:00:00,5.019,5.052,4.935,4.949,82116.15
2024-08-04 05:00:00,4.949,5.022,4.926,5.011,63321.28
2024-08-04 06:00:00,5.008,5.038,4.966,4.974,96295.08
2024-08-04 07:00:00,4.975,4.975,4.845,4.902,195309.85
2024-08-04 08:00:00,4.902,4.976,4.833,4.965,126383.21
2024-08-04 09:00:00,4.962,4.967,4.909,4.945,83705.88
2024-08-04 10:00:00,4.944,4.964,4.892,4.944,77468.63
2024-08-04 11:00:00,4.943,4.983,4.908,4.919,69373.67
2024-08-04 12:00:00,4.917,4.956,4.91,4.947,61039.26
2024-08-04 13:00:00,4.948,4.955,4.88,4.917,58005.61
2024-08-04 14:00:00,4.913,4.92,4.61,4.622,422339.17
2024-08-04 15:00:00,4.621,4.626,4.472,4.507,562311.73
2024-08-04 16:00:00,4.504,4.55,4.48,4.512,493200.08
2024-08-04 17:00:00,4.51,4.517,4.317,4.484,495978.59
2024-08-04 18:00:00,4.484,4.654,4.465,4.642,311100.85
2024-08-04 19:00:00,4.641,4.761,4.601,4.703,350925.67
2024-08-04 20:00:00,4.701,4.76,4.642,4.709,235769.07
2024-08-04 21:00:00,4.711,4.739,4.645,4.688,150993.14
2024-08-04 22:00:00,4.686,4.767,4.65,4.675,148508.66
2024-08-04 23:00:00,4.672,4.674,4.494,4.531,208654.01
2024-08-05 00:00:00,4.534,4.603,4.251,4.297,372575.76
2024-08-05 01:00:00,4.297,4.313,3.826,4.056,1290810.6
2024-08-05 02:00:00,4.057,4.119,3.909,4.088,421888.84
2024-08-05 03:00:00,4.086,4.087,3.937,3.94,324291.98
2024-08-05 04:00:00,3.94,4.04,3.934,3.943,348030.66
2024-08-05 05:00:00,3.947,3.952,3.75,3.755,826941.17
2024-08-05 06:00:00,3.755,3.776,3.41,3.649,1674425.96
2024-08-05 07:00:00,3.651,4.192,3.631,4.131,846812.14
2024-08-05 08:00:00,4.128,4.339,4.067,4.139,596575.77
2024-08-05 09:00:00,4.142,4.183,4.013,4.086,276222.41
2024-08-05 10:00:00,4.088,4.091,3.817,3.834,568448.43
2024-08-05 11:00:00,3.841,3.845,3.645,3.788,486097.26
2024-08-05 12:00:00,3.792,3.868,3.567,3.572,484165.89
2024-08-05 13:00:00,3.571,4.0,3.52,3.967,794921.79
2024-08-05 14:00:00,3.965,4.299,3.965,4.248,855841.48
2024-08-05 15:00:00,4.246,4.365,4.14,4.31,609625.88
2024-08-05 16:00:00,4.307,4.515,4.183,4.236,860250.49
2024-08-05 17:00:00,4.239,4.345,4.187,4.298,331567.84
2024-08-05 18:00:00,4.298,4.304,4.068,4.076,301391.99
2024-08-05 19:00:00,4.078,4.161,4.047,4.117,212461.37
2024-08-05 20:00:00,4.118,4.228,4.108,4.228,202007.82
2024-08-05 21:00:00,4.226,4.264,4.094,4.123,195397.65
2024-08-05 22:00:00,4.126,4.257,4.108,4.207,151271.28
2024-08-05 23:00:00,4.208,4.331,4.125,4.131,204210.64
2024-08-06 00:00:00,4.132,4.422,4.122,4.411,246514.8
