id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,last_updated
bitcoin,btc,Bitcoin,115258.0,2293103220325,1,58515438748,118696.0,114326.0,-3056.154027726181,-2.58309,-61291810726.649414,-2.60329,19900290.0,19900290.0,21000000.0,122838.0,-6.31529,2025-08-01 11:55:32.192000+00:00
ethereum,eth,Ethereum,3638.61,438853589851,2,34096630385,3837.36,3607.08,-194.27144803249485,-5.06855,-23826994489.978577,-5.14977,120709809.3024758,120709809.3024758,,4878.26,-25.70504,2025-08-01 11:55:33.696000+00:00
ripple,xrp,XRP,2.96,175706300394,3,8257496950,3.16,2.91,-0.1920713455568559,-6.08625,-11331479364.332947,-6.05839,59308385925.0,99985880506.0,100000000000.0,3.65,-19.10362,2025-08-01 11:55:37.513000+00:00
tether,usdt,Tether,0.999598,163686154849,4,107539956741,0.999938,0.999589,-0.000183610829077363,-0.01837,-31692012.46936035,-0.01936,163751876809.3832,163751876809.3832,,1.32,-24.44892,2025-08-01 11:55:39.494000+00:00
binancecoin,bnb,BNB,771.19,107394347596,5,2181958397,810.64,764.79,-29.276255782975454,-3.65738,-4172780336.8105164,-3.74015,139288375.5799999,139288375.5799999,200000000.0,858.34,-10.56211,2025-08-01 11:55:31.849000+00:00
solana,sol,Solana,169.01,90916655122,6,7597352716,180.82,167.13,-11.805081278569787,-6.52875,-6454307348.142624,-6.62858,538166548.3932173,606470722.5444865,,293.31,-42.66524,2025-08-01 11:55:37.114000+00:00
usd-coin,usdc,USDC,0.999728,63996452058,7,17186549574,0.999842,0.999644,-8.2245959686422e-05,-0.00823,86527731.0,0.13539,64014305259.74784,64016782190.31979,,1.17,-14.75312,2025-08-01 11:55:29.994000+00:00
staked-ether,steth,Lido Staked Ether,3634.16,32623378429,8,77382936,3836.63,3598.76,-191.47924087486217,-5.00515,-1742529428.8773308,-5.07052,8988241.773105415,8988241.773105415,,4829.57,-24.96689,2025-08-01 11:55:36.821000+00:00
dogecoin,doge,Dogecoin,0.206903,31087582222,9,2785317749,0.222153,0.202706,-0.015033650449712138,-6.77386,-2257372197.000168,-6.76976,150324126383.7052,150336646383.7052,,0.731578,-71.87333,2025-08-01 11:55:32.991000+00:00
tron,trx,TRON,0.327005,30966127859,10,1568081329,0.329242,0.323338,-0.002013247638869731,-0.6119,-169257355.1993332,-0.54362,94716277343.21902,94716198366.44183,,0.431288,-24.23776,2025-08-01 11:55:39.809000+00:00
cardano,ada,Cardano,0.725079,26196806720,11,1622271075,0.77833,0.715446,-0.05276124706879548,-6.78304,-1945591740.3006363,-6.91338,36172201725.55295,45000000000.0,45000000000.0,3.09,-76.63854,2025-08-01 11:55:39.688000+00:00
