symbol,priceChange,priceChangePercent,weightedAvgPrice,lastPrice,lastQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHUSDT,132.11,3.743,3648.12,3661.38,0.281,3529.27,3735.00,3526.88,5169021.548,18857203506.23,1754289660000,1754376083684,6109480420,6115434065,5953633
BTCUSDT,2.10,0.002,114807.66,114275.40,0.007,114273.30,115686.00,114070.00,81776.018,9388513442.13,1754289660000,1754376087352,6526640099,6528699248,2059138
MYXUSDT,0.4594700,212.305,0.3985873,0.6758900,10,0.2164200,0.9780000,0.2110600,10205421329.0,4067751283.8118095,1754289660000,1754376084278,63793800,84618302,20816231
SOLUSDT,6.7900,4.198,166.4230,168.5200,4.22,161.7300,169.9400,161.5000,20472289.0,3407060542.2309,1754289660000,1754376086417,2527515973,2530069703,2553726
ALPACAUSDT,0.9477500,391.228,0.2505546,1.1900000,1,0.2422500,1.4763000,0.0657900,11619631791.0,2911352253.74508,1745917320000,1746003726020,122485053,140377339,17861456
XRPUSDT,0.0530,1.778,3.0394,3.0339,128.9,2.9809,3.1059,2.9723,759414312.0,2308178706.9852,1754289660000,1754376085760,2568378927,2570883549,2504618
DOGEUSDT,0.005140,2.553,0.205528,0.206470,49,0.201330,0.211190,0.200200,6511958143.0,1338387856.4092,1754289660000,1754376086835,2850297363,2852178511,1881146
ENAUSDT,-0.0121000,-2.018,0.6115691,0.5876000,170,0.5997000,0.6406000,0.5816000,1814110220.0,1109453673.3061,1754289660000,1754376083920,543226563,545088025,1861462
MAGICUSDT,0.042400,21.403,0.244910,0.240500,33.5,0.198100,0.298000,0.195700,4223874539.1,1034468979.6516,1754289660000,1754376087913,247509461,250123602,2613361
SUIUSDT,0.034600,1.000,3.521614,3.496300,278.2,3.461700,3.634100,3.406200,232047116.2,817180422.22364,1754289660000,1754376087810,1148739902,1150666197,1926293
SPKUSDT,0.0016100,1.397,0.1218525,0.1168500,980,0.1152400,0.1334700,0.1124200,6545471216.0,797582351.09201,1754289660000,1754376085525,76115025,79089934,2974582
LTCUSDT,11.62,10.430,118.89,123.03,1.993,111.41,125.06,111.02,6240564.286,741945866.74,1754289660000,1754376084027,1202558647,1203874109,1315462
1000PEPEUSDT,0.0001214,1.162,0.0105851,0.0105700,6194,0.0104486,0.0108161,0.0103342,67601289638.0,715566807.8349688,1754289660000,1754376085053,2104910207,2106697432,1787223
PUMPUSDT,0.0003550,12.344,0.0030037,0.0032310,39874,0.0028760,0.0032930,0.0027520,230635840303.0,692756652.728443,1754289660000,1754376083751,44612091,45958686,1346527
PENGUUSDT,-0.0000740,-0.211,0.0355980,0.0350740,11,0.0351480,0.0367990,0.0343080,13831285939.0,492366315.071228,1754289660000,1754376083607,319180895,321927409,2746513
BNXUSDT,0.797900,66.376,1.545227,2.000000,127.6,1.202100,2.000000,1.184400,318403038.1,492004952.04499,1742115720000,1742202135024,264551228,267198482,2633501
FARTCOINUSDT,0.0464000,4.872,0.9834202,0.9987000,175.8,0.9523000,1.0398000,0.9420000,422005624.5,415008844.42422,1754289660000,1754376085698,458483781,460289575,1805793
BNBUSDT,13.180,1.749,762.936,766.690,3.29,753.510,770.040,752.870,458995.56,350184108.186,1754289660000,1754376083676,1760240882,1760902924,662040
ADAUSDT,0.01180,1.608,0.74727,0.74570,11,0.73390,0.75980,0.73350,456595964.0,341202408.0522,1754289660000,1754376085494,1648173069,1649113174,940104
UNIUSDT,0.5500,5.937,9.7790,9.8140,2,9.2640,10.0940,9.2430,34666545.0,339003056.982,1754289660000,1754376086160,692074836,692906831,831992
HYPEUSDT,1.13400,2.997,38.40785,38.97400,4.12,37.84000,39.46200,37.24800,7777920.05,298733205.27486,1754289660000,1754376084472,66842133,67801615,959482
1000BONKUSDT,-0.0009810,-3.692,0.0264866,0.0255920,230,0.0265730,0.0273920,0.0253410,11115049202.0,294400330.959266,1754289660000,1754376086944,777115691,778281354,1165661
AVAXUSDT,0.7400,3.389,22.4792,22.5740,1,21.8340,23.1220,21.7100,12264079.0,275687259.002,1754289660000,1754376083558,1166224911,1166892606,667694
BCHUSDT,14.53,2.645,567.41,563.86,0.090,549.33,581.92,548.28,484968.734,275176397.08,1754289660000,1754376083508,1060531593,1061226178,694572
MUSDT,0.0419000,8.482,0.5507389,0.5359000,10,0.4940000,0.5953000,0.4858000,469783442.0,258728005.164,1754289660000,1754376085268,41628409,43128767,1500333
TONUSDT,-0.2155000,-6.042,3.4487485,3.3510000,1.7,3.5665000,3.6732000,3.3272000,74783147.7,257908271.02527,1754289660000,1754376084981,308149952,309175082,1025129
LINKUSDT,0.250,1.513,16.851,16.777,0.44,16.527,17.192,16.516,15243037.92,256854787.448,1754289660000,1754376085998,1346438917,1346988854,549937
XLMUSDT,-0.00505,-1.229,0.41238,0.40585,41,0.41090,0.41938,0.40293,592747589.0,244435325.49359,1754289660000,1754376086325,769843639,770713614,869976
CRVUSDT,0.003,0.332,0.919,0.907,19.2,0.904,0.954,0.883,263943747.2,242474899.266,1754289660000,1754376085051,504573527,505025573,452047
CFXUSDT,-0.0007800,-0.371,0.2155204,0.2094600,1043,0.2102400,0.2333100,0.2070000,1108458305.0,238895388.61685,1754289660000,1754376087047,399888183,401146160,1257972
WIFUSDT,-0.0153000,-1.675,0.9168435,0.8982000,6.4,0.9135000,0.9373000,0.8933000,244311552.3,223995451.63536,1754289660000,1754376087758,1096083519,1096772917,689397
ILVUSDT,8.08100,64.293,19.71216,20.65000,0.7,12.56900,23.56900,12.51700,10903347.8,214928570.6457,1754289660000,1754376086162,68915937,70494482,1578491
ZORAUSDT,0.0036400,5.699,0.0639593,0.0675100,221,0.0638700,0.0709300,0.0583700,3176322438.0,203155463.53533,1754289660000,1754376086750,37743746,39337031,1593283
ESPORTSUSDT,-0.0566000,-32.641,0.1523144,0.1168000,677,0.1734000,0.1950000,0.1135000,1331708393.0,202838325.782,1754289660000,1754376086247,5428731,6759193,1330342
HBARUSDT,-0.00429,-1.724,0.24959,0.24453,21,0.24882,0.25605,0.24323,754978576.0,188435092.36338,1754289660000,1754376085286,615961731,616842684,880953
TREEUSDT,-0.0340000,-7.116,0.4697822,0.4438000,360,0.4778000,0.4987000,0.4341000,349118489.0,164009636.4382,1754289660000,1754376084768,22372230,23708990,1336739
TRUMPUSDT,0.059000,0.667,8.934375,8.909000,0.02,8.850000,9.053000,8.805000,18210854.73,162702610.18306,1754289660000,1754376083691,543199257,543616354,417098
NEIROETHUSDT,0.0226500,20.265,0.1510771,0.1344200,66,0.1117700,0.1728900,0.1085000,1059306603.0,160037008.50561,1754289660000,1754376084505,175759115,177352132,1592998
AAVEUSDT,0.750,0.288,264.962,261.560,0.3,260.810,271.030,260.170,592358.5,156952553.335,1754289660000,1754376085483,725385698,725872051,486354
VINEUSDT,-0.0010400,-1.478,0.0698167,0.0693100,7,0.0703500,0.0731100,0.0650500,2186720813.0,152669608.7597,1754289660000,1754376083691,163640043,164498196,857878
RAREUSDT,0.0094200,18.878,0.0629612,0.0593200,1856,0.0499000,0.0685000,0.0497100,2287055851.0,143995733.13207,1754289660000,1754376084919,155559216,156634931,1075707
SEIUSDT,0.0161000,5.695,0.2971261,0.2988000,131,0.2827000,0.3072000,0.2818000,409639984.0,121714739.9992,1754289660000,1754376083805,385468213,385832508,364294
WLDUSDT,-0.0181000,-1.845,0.9887099,0.9628000,18,0.9809000,1.0148000,0.9627000,119330069.0,117982822.9926,1754289660000,1754376086520,1027492852,1027981159,488307
